CIDADE,LAT,LONG
Abadia de Goiás,-16.7573,-49.4412
Abadia dos Dourados,-18.4831,-47.3916
Abadiânia,-16.197,-48.7057
Abaeté,-19.1551,-45.4444
Abaetetuba,-1.72183,-48.8788
Abaiara,-7.34588,-39.0416
Abaíra,-13.2488,-41.6619
Abaré,-8.72073,-39.1162
Abatiá,-23.3049,-50.3133
Abdon Batista,-27.6126,-51.0233
Abel Figueiredo,-4.95333,-48.3933
Abelardo Luz,-26.5716,-52.3229
Abre Campo,-20.2996,-42.4743
Abreu e Lima,-7.90072,-34.8984
Abreulândia,-9.62101,-49.1518
Acaiaca,-20.359,-43.1439
Açailândia,-4.94714,-47.5004
Acajutiba,-11.6575,-38.0197
Acará,-1.95383,-48.1985
Acarape,-4.22083,-38.7055
Acaraú,-2.88769,-40.1183
Acari,-6.4282,-36.6347
Acauã,-8.21954,-41.0831
Aceguá,-31.8665,-54.1615
Acopiara,-6.08911,-39.448
Acorizal,-15.194,-56.3632
Acrelândia,-9.82581,-66.8972
Acreúna,-17.396,-50.3749
Açu,-5.58362,-36.914
Açucena,-19.0671,-42.5419
Adamantina,-21.682,-51.0737
Adelândia,-16.4127,-50.1657
Adolfo,-21.2325,-49.6451
Adrianópolis,-24.6606,-48.9922
Adustina,-10.5437,-38.1113
Afogados da Ingazeira,-7.74312,-37.631
Afonso Bezerra,-5.49229,-36.5075
Afonso Cláudio,-20.0778,-41.1261
Afonso Cunha,-4.13631,-43.3275
Afrânio,-8.51136,-41.0095
Afuá,-0.154874,-50.3861
Agrestina,-8.45966,-35.9447
Agricolândia,-5.79676,-42.6664
Agrolândia,-27.4087,-49.822
Agronômica,-27.2662,-49.708
Água Azul do Norte,-6.79053,-50.4791
Água Boa,-17.9914,-42.3806
Água Boa,-14.051,-52.1601
Água Branca,-5.88856,-42.637
Água Branca,-7.51144,-37.6357
Água Branca,-9.262,-37.938
Água Clara,-20.4452,-52.879
Água Comprida,-20.0576,-48.1069
Água Doce,-26.9985,-51.5528
Água Doce do Maranhão,-2.84048,-42.1189
Água Doce do Norte,-18.5482,-40.9854
Água Fria,-11.8618,-38.7639
Água Fria de Goiás,-14.9778,-47.7823
Água Limpa,-18.0771,-48.7603
