UF,ESTADO,REGIAO
RO,Rondonia,Norte
AC,Acre,Norte
AM,Amazonas,Norte
RR,Roraima,Norte
PA,Pará,Norte
AP,Amapá,Norte
TO,Tocantins,Norte
MA,Maranhão,Nordeste
PI,Piau¡,Nordeste
CE,Ceará,Nordeste
RN,Rio Grande do Norte,Nordeste
PB,Para¡ba,Nordeste
PE,Pernambuco,Nordeste
AL,Alagoas,Nordeste
SE,Sergipe,Nordeste
BA,Bahia,Nordeste
MG,Minas Gerais,Sudeste
ES,Esp¡rito Santo,Sudeste
RJ,Rio de Janeiro,Sudeste
SP,São Paulo,Sudeste
PR,Paraná,Sul
SC,Santa Catarina,Sul
RS,Rio Grande do Sul,Sul
MS,Mato Grosso do Sul,Centro-oeste
MT,Mato Grosso,Centro-oeste
GO,Goiás,Centro-oeste
DF,Distrito Federal,Centro-oeste
