UF,CIDADE,IBGE,POPULAÇÃO,VALOR_TOTAL_PREVISTO,STATUS,PONTOS_ATENDIDOS,VALOR_INVESTIDO
AC,Tarauacá,1200609,38819,484547.53,Sem Previsao,8,0
AL,Delmiro Gouveia,2702405,51997,1169381.7,Sem Previsao,43,0
AL,Estrela de Alagoas,2702553,18306,527206.83,Sem Previsao,39,0
AM,Autazes,1300300,37033,1171151.92,Sem Previsao,51,0
AM,Benjamin Constant,1300607,39484,844586.48,Sem Previsao,12,0
AM,Careiro,1301100,36435,748797.08,Sem Previsao,17,0
AM,Coari,1301209,83078,814954.75,Concluida,27,0
AM,Codajás,1301308,26777,757706.74,Sem Previsao,36,0
AM,Iranduba,1301852,45984,800655.02,Sem Previsao,30,0
AM,Manacapuru,1302504,94175,892096.87,Concluida,31,763009.3
AM,Manaquiri,1302553,28413,636682.15,Concluida,21,0
AM,Maraã,1302801,18423,427516.78,Sem Previsao,21,0
AP,Amapá,1600105,8622,459240.58,Sem Previsao,15,0
AP,Laranjal do Jari,1600279,45712,896578.06,Sem Previsao,17,0
AP,Mazagão,1600402,19571,594149.7,Sem Previsao,20,0
AP,Porto Grande,1600535,19669,800403.5,Sem Previsao,22,96748
AP,Serra do Navio,1600055,4938,590073.15,Concluida,21,495899
AP,Vitória do Jari,1600808,14364,687756.22,Sem Previsao,7,0
BA,Abaré,2900207,19574,490227.43,Sem Previsao,23,0
BA,Anagé,2901205,20096,510328.56,Sem Previsao,15,0
BA,Anguera,2901502,11299,441915.04,Sem Previsao,20,0
BA,Baianópolis,2902500,14195,499499.12,Sem Previsao,24,0
BA,Barra,2902708,54188,1210503.86,Sem Previsao,46,0
BA,Barra do Choça,2902906,34853,747990.32,Sem Previsao,23,0
BA,Boa Vista do Tupim,2903805,18658,548582.05,Sem Previsao,28,0
BA,Bom Jesus da Serra,2903953,10554,413597.59,Sem Previsao,16,0
BA,Brejolândia,2904407,10698,437370.14,Sem Previsao,17,0
BA,Buritirama,2904753,21549,486364.54,Sem Previsao,20,0
BA,Coronel João Sá,2909208,17098,623361.08,Sem Previsao,27,0
BA,Cotegipe,2909406,14403,687927.7,Sem Previsao,36,0
BA,Curaçá,2909901,35208,544494.05,Sem Previsao,13,0
BA,Encruzilhada,2910404,20331,401380.67,Sem Previsao,17,0
BA,Guanambi,2911709,85797,533416.18,Concluida,15,441985.58
BA,Guaratinga,2911808,22355,464626.92,Sem Previsao,17,0
BA,Itaberaba,2914703,66310,533277.38,Concluida,16,409445.98
BA,Itabuna,2914802,219680,623601.85,Concluida,17,463707.87
BA,Jeremoabo,2918100,41100,703108.89,Sem Previsao,15,0
BA,Juazeiro,2918407,218324,330262.76,Concluida,9,268250.96
BA,Lauro de Freitas,2919207,191436,710505.26,Concluida,21,625251.76
BA,Nilo Peçanha,2922607,14188,467642.09,Concluida,16,404337.86
BA,Pedro Alexandre,2924207,18135,584854.35,Sem Previsao,20,0
BA,Piatã,2924306,18473,480760.3,Sem Previsao,25,0
BA,Piraí do Norte,2924678,10360,433787.98,Concluida,15,377520.78
BA,Presidente Tancredo Neves,2925758,27505,553392.15,Sem Previsao,26,0
BA,Rafael Jambeiro,2925956,24349,441036.02,Sem Previsao,27,0
BA,Riacho de Santana,2410801,4278,678170.45,Sem Previsao,33,0
BA,Rio do Pires,2926905,12084,473521.57,Sem Previsao,16,0
BA,Santa Rita de Cássia,2928406,28822,674932.84,Sem Previsao,17,0
BA,São Desidério,2928901,32640,674932.84,Sem Previsao,38,0
BA,Uruçuca,2932705,21849,674090.96,Concluida,27,606169.36
BA,Vitória da Conquista,2933307,343230,770854.49,Concluida,19,650404.89
CE,Aiuaba,2300408,16997,608224.01,Sem Previsao,17,0
